ID	Drinks	Size
30296	Lots	*
30297	*	Fat
30298	Lots	*
30299	None	Thin
30300	Lots	Thin
30301	None	Fat
30302	Lots	Thin
30303	None	Fat
30304	None	Thin
30305	Lots	*
30306	Little	Thin
30307	None	Fat
30308	Little	*
30309	None	Thin
30310	Little	Thin
30311	None	Thin
30312	None	Thin
30313	Lots	Thin
30314	*	Thin
30315	None	Fat
30316	Lots	*
30317	None	Thin
30318	Little	*
30319	Lots	*
30320	None	Fat
30321	*	Thin
30322	Little	Fat
30323	Lots	Fat
30324	*	*
30325	Lots	Fat
30326	Little	Fat
30327	None	Fat
30328	Lots	Thin
30329	None	Fat
30330	*	Thin
30331	Little	Thin
30332	Little	Thin
30333	Lots	Thin
30334	*	Fat
30335	None	Fat
30336	*	Thin
30337	None	Thin
30338	None	Thin
30339	Lots	Thin
30340	*	Fat
30341	*	Thin
30342	None	Fat
30343	None	Fat
30344	Little	*
30345	*	Fat
30346	None	Fat
30347	None	Thin
30348	None	*
30349	*	Thin
30350	Little	Fat
30351	*	Thin
30352	None	*
30353	Lots	Thin
30354	*	Thin
30355	*	*
30356	None	Thin
30357	None	*
30358	*	Thin
30359	Little	Fat
30360	Lots	Thin
30361	Lots	*
30362	*	Thin
30363	Little	*
30364	Little	Thin
30365	Little	Fat
30366	None	Thin
30367	None	Fat
30368	*	Thin
30369	*	Fat
30370	Lots	*
30371	Lots	Fat
30372	*	Fat
30373	*	*
30374	None	Thin
30375	None	*
30376	None	Fat
30377	*	Thin
30378	None	Fat
30379	Little	Fat
30380	*	Thin
30381	None	*
30382	None	Thin
30383	*	Thin
30384	Lots	*
30385	*	Fat
30386	Little	Fat
30387	None	Fat
30388	Lots	Thin
30389	Lots	Fat
30390	Little	Fat
30391	*	Thin
30392	None	Thin
30393	Lots	*
30394	None	Thin
30395	None	Thin
30396	Lots	Fat
30397	Lots	Thin
30398	Little	Fat
30399	None	Fat
30400	None	Thin
30401	None	*
30402	None	Thin
30403	*	Thin
30404	None	Fat
30405	Lots	Thin
30406	Little	*
30407	None	Thin
30408	Lots	Thin
30409	Lots	Fat
30410	*	Fat
30411	None	Thin
30412	Little	Thin
30413	None	Fat
30414	Little	Fat
30415	Little	Fat
30416	None	Thin
30417	Lots	*
30418	None	Fat
30419	Little	Thin
30420	None	*
30421	None	Fat
30422	Little	Thin
30423	Little	Thin
30424	*	Fat
30425	None	Fat
30426	None	*
30427	Little	Thin
30428	Lots	Thin
30429	Lots	Thin
30430	Little	Thin
30431	*	Thin
30432	None	Thin
30433	Little	Fat
30434	Little	Thin
30435	Little	*
30436	*	Fat
30437	Little	Thin
30438	*	*
30439	Lots	Fat
30440	Lots	Thin
30441	None	*
30442	Lots	Thin
30443	*	Thin
30444	Lots	*
30445	Lots	Thin
30446	*	Thin
30447	None	Thin
30448	*	Fat
30449	None	Thin
30450	Lots	Thin
30451	None	Fat
30452	Little	Thin
30453	None	*
30454	Little	Fat
30455	*	Fat
30456	Lots	*
30457	*	Thin
30458	None	Thin
30459	*	Thin
30460	Lots	Thin
30461	Lots	Thin
30462	Lots	Thin
30463	None	Thin
30464	*	Thin
30465	*	Fat
30466	None	Fat
30467	Little	Fat
30468	*	*
30469	*	Thin
30470	Little	Fat
30471	*	Fat
30472	None	*
30473	*	Thin
30474	Little	Fat
30475	*	Thin
30476	Lots	Fat
30477	None	Fat
30478	*	Fat
30479	Little	Fat
30480	Little	*
30481	*	*
30482	Little	Fat
30483	*	Fat
30484	Little	*
30485	None	Fat
30486	Little	Thin
30487	Little	*
30488	Lots	Thin
30489	None	Thin
30490	None	Fat
30491	Lots	Thin
30492	None	Thin
30493	Lots	Thin
30494	*	Thin
30495	*	Thin
30496	None	*
30497	Lots	Thin
30498	*	Thin
30499	None	Fat
30500	Lots	Thin
30501	Lots	*
30502	Lots	Thin
30503	*	*
30504	None	*
30505	*	Thin
30506	Little	Thin
30507	Little	*
30508	Little	Thin
30509	Lots	Fat
30510	Little	Thin
30511	Little	Thin
30512	Little	*
30513	Little	Fat
30514	None	Fat
30515	*	Fat
30516	*	Fat
30517	*	Thin
30518	Little	Thin
30519	Little	Fat
30520	Little	Fat
30521	Lots	Thin
30522	None	Fat
30523	None	Thin
30524	Lots	Thin
30525	None	Fat
30526	Little	Fat
30527	None	*
30528	Lots	Thin
30529	Little	Fat
30530	Lots	Thin
30531	None	Fat
30532	Little	Fat
30533	*	Thin
30534	Little	Thin
30535	Lots	Fat
30536	Lots	Thin
30537	*	Fat
30538	Lots	Fat
30539	*	Fat
30540	Little	*
30541	Little	Fat
30542	Little	*
30543	Little	Thin
30544	None	Thin
30545	None	Thin
30546	*	Fat
30547	Lots	Thin
30548	*	Fat
30549	Lots	*
30550	*	Fat
30551	Lots	Thin
30552	Lots	*
30553	Little	Thin
30554	None	*
30555	Lots	Fat
30556	None	Thin
30557	*	Thin
30558	Lots	Fat
30559	*	Thin
30560	None	Fat
30561	None	Fat
30562	Little	*
30563	Lots	*
30564	None	Thin
30565	Little	Thin
30566	Lots	Fat
30567	Lots	Fat
30568	*	Fat
30569	None	Thin
30570	None	Fat
30571	*	Fat
30572	*	Fat
30573	Lots	*
30574	None	Fat
30575	Lots	*
30576	*	Thin
30577	None	*
30578	Little	Fat
30579	None	*
30580	None	Thin
30581	Lots	*
30582	Lots	Thin
30583	None	Fat
30584	Lots	*
30585	*	*
30586	Lots	*
30587	None	*
30588	*	*
30589	None	Thin
30590	Little	Thin
30591	Little	*
30592	None	Fat
30593	Little	Thin
30594	Little	Thin
30595	Little	*
30596	*	Thin
30597	Little	*
30598	Little	Thin
30599	*	Fat
30600	*	*
30601	None	*
30602	None	Fat
30603	None	Fat
30604	Lots	Thin
30605	None	Fat
30606	*	Thin
30607	Little	Thin
30608	*	Fat
30609	None	Thin
30610	*	*
30611	Lots	Thin
30612	*	*
30613	None	*
30614	None	Thin
30615	Lots	Thin
30616	None	Thin
30617	Lots	Fat
30618	Lots	Thin
30619	*	Thin
30620	*	Thin
30621	None	Thin
30622	*	*
30623	Lots	Fat
30624	Little	*
30625	*	Thin
30626	Lots	Thin
30627	Little	Fat
30628	*	Thin
30629	*	Thin
30630	None	*
30631	Lots	*
30632	Little	Fat
30633	*	Thin
30634	None	*
30635	Little	Fat
30636	Lots	Fat
30637	Little	Fat
30638	Lots	*
30639	*	*
30640	Lots	Fat
30641	None	Thin
30642	None	Thin
30643	Little	Fat
30644	*	Fat
30645	*	*
30646	Little	Fat
30647	None	Fat
30648	Little	Fat
30649	Little	Fat
30650	Lots	*
30651	None	Thin
30652	None	Thin
30653	*	Thin
30654	Little	Fat
30655	None	Thin
30656	Lots	Thin
30657	Little	Thin
30658	Little	Thin
30659	None	Fat
30660	None	Thin
30661	Lots	Fat
30662	Lots	Thin
30663	*	Thin
30664	None	Thin
30665	*	*
30666	Lots	Thin
30667	Lots	Thin
30668	Little	Fat
30669	*	*
30670	Little	Fat
30671	*	Fat
30672	None	Thin
30673	*	*
30674	Little	Thin
30675	Lots	Fat
30676	*	Thin
30677	Lots	Thin
30678	None	Thin
30679	None	*
30680	None	*
30681	*	Thin
30682	*	Thin
30683	*	Thin
30684	*	Thin
30685	*	Thin
30686	Lots	Thin
30687	*	Fat
30688	None	*
30689	*	Fat
30690	*	*
30691	Little	Fat
30692	Little	Thin
30693	Little	Fat
30694	*	Thin
30695	Lots	Fat
30696	None	Thin
30697	Little	Fat
30698	None	Thin
30699	None	Fat
30700	Little	Thin
30701	Little	*
30702	Lots	Fat
30703	None	Thin
30704	None	Thin
30705	*	Thin
30706	Lots	Thin
30707	None	Fat
30708	*	Fat
30709	Little	Thin
30710	None	*
30711	*	Thin
30712	*	Thin
30713	Little	*
30714	*	Thin
30715	Little	*
30716	Lots	Thin
30717	None	Thin
30718	*	Thin
30719	Little	Thin
30720	*	Thin
30721	Little	Fat
30722	Lots	*
30723	Lots	Fat
30724	None	Thin
30725	Lots	Thin
30726	Lots	Thin
30727	None	Fat
30728	*	*
30729	None	Fat
30730	*	Fat
30731	None	Fat
30732	None	Fat
30733	Little	Fat
30734	Little	*
30735	*	*
30736	None	Thin
30737	None	Thin
30738	None	Thin
30739	*	Thin
30740	None	Thin
30741	*	Fat
30742	*	Thin
30743	Little	Thin
30744	Little	Fat
30745	*	Thin
30746	None	Fat
30747	Little	Fat
30748	Little	*
30749	Little	Thin
30750	*	Fat
30751	Lots	Thin
30752	Lots	Thin
30753	*	Thin
30754	*	*
30755	Little	*
30756	None	Thin
30757	*	*
30758	*	*
30759	None	Fat
30760	Little	Thin
30761	None	Thin
30762	Lots	Fat
30763	Lots	Thin
30764	None	Thin
30765	*	Fat
30766	Little	Fat
30767	Little	Fat
30768	Little	Thin
30769	None	*
30770	Lots	Thin
30771	Little	Fat
30772	Lots	Thin
30773	*	Fat
30774	Little	Thin
30775	Lots	Thin
30776	*	Fat
30777	None	Fat
30778	None	Thin
30779	None	*
30780	Lots	Fat
30781	Lots	Fat
30782	None	Thin
30783	Little	*
30784	Lots	Fat
30785	*	*
30786	Lots	Fat
30787	None	*
30788	*	Thin
30789	None	Thin
30790	None	*
30791	None	Fat
30792	Lots	Thin
30793	Lots	Fat
30794	Lots	*
30795	None	Fat
30796	Lots	Thin
30797	Little	Thin
30798	Little	Thin
30799	*	Fat
30800	*	Fat
30801	Lots	Fat
30802	*	*
30803	Lots	Thin
30804	None	Fat
30805	None	Thin
30806	None	Fat
30807	*	Thin
30808	Little	Fat
30809	Lots	*
30810	None	*
30811	*	Fat
30812	None	Thin
30813	None	Thin
30814	Lots	Thin
30815	Little	Thin
30816	Lots	Fat
30817	None	*
30818	None	Thin
30819	*	Thin
30820	None	Thin
30821	None	Fat
30822	*	Fat
30823	None	Fat
30824	*	Thin
30825	None	Thin
30826	None	Thin
30827	Lots	Thin
30828	Lots	Thin
30829	Lots	Fat
30830	None	Thin
30831	None	Fat
30832	None	Fat
30833	*	Thin
30834	Lots	Thin
30835	Little	Thin
30836	None	*
30837	None	Thin
30838	Lots	Fat
30839	*	Thin
30840	None	Thin
30841	Lots	*
30842	*	Thin
30843	None	Thin
30844	Little	Fat
30845	None	Fat
30846	Lots	Fat
30847	Lots	Thin
30848	Lots	Thin
30849	*	Thin
30850	None	Fat
30851	None	*
30852	Lots	Fat
30853	None	*
30854	None	Thin
30855	Little	*
30856	Little	Thin
30857	*	Thin
30858	Little	*
30859	None	Fat
30860	Little	Thin
30861	Little	Fat
30862	None	Thin
30863	Lots	Thin
30864	Little	Thin
30865	Lots	*
30866	None	Fat
30867	None	Thin
30868	Lots	Thin
30869	*	Fat
30870	Lots	Thin
30871	*	*
30872	Little	*
30873	Lots	Thin
30874	*	Fat
30875	Little	Fat
30876	*	Thin
30877	Little	Fat
30878	None	*
30879	*	*
30880	Lots	Thin
30881	Lots	Thin
30882	None	Thin
30883	*	Thin
30884	Little	Thin
30885	Lots	Thin
30886	*	Fat
30887	Little	Fat
30888	None	Fat
30889	None	Thin
30890	None	Thin
30891	None	Fat
30892	None	Fat
30893	None	Thin
30894	*	Fat
30895	None	Thin
30896	*	Fat
30897	Little	Fat
30898	*	Fat
30899	None	Thin
30900	None	Thin
30901	None	Fat
30902	None	Fat
30903	Little	Thin
30904	Lots	Thin
30905	Little	Thin
30906	Little	Fat
30907	None	Fat
30908	None	Thin
30909	Lots	Thin
30910	*	Fat
30911	*	Thin
30912	Lots	Fat
30913	Lots	*
30914	None	*
30915	Little	Fat
30916	Little	Fat
30917	None	Thin
30918	*	Thin
30919	None	Fat
30920	Lots	Thin
30921	*	*
30922	None	*
30923	None	Fat
30924	Lots	Thin
30925	Lots	Thin
30926	Lots	Thin
30927	Little	Thin
30928	*	Thin
30929	*	Thin
30930	*	Fat
30931	*	Thin
30932	Lots	Thin
30933	None	Fat
30934	Little	*
30935	Lots	Fat
30936	*	Thin
30937	*	Thin
30938	Little	Thin
30939	Lots	*
30940	None	Thin
30941	*	Fat
30942	*	Thin
30943	*	*
30944	Lots	Thin
30945	Little	*
30946	None	*
30947	None	Thin
30948	None	Fat
30949	*	Thin
30950	None	Thin
30951	Lots	Thin
30952	Lots	Fat
30953	None	Thin
30954	*	Thin
30955	None	Thin
30956	Lots	Thin
30957	Lots	Fat
30958	*	Thin
30959	Lots	Thin
30960	Little	*
30961	Little	Thin
30962	Little	*
30963	None	Thin
30964	None	Fat
30965	*	*
30966	*	*
30967	Little	*
30968	*	Thin
30969	None	Fat
30970	*	Thin
30971	Lots	Thin
30972	None	Fat
30973	*	Thin
30974	Little	Thin
30975	Lots	Fat
30976	Lots	Fat
30977	*	*
30978	None	Thin
30979	Little	Thin
30980	Little	Thin
30981	Lots	Thin
30982	None	Thin
30983	*	Thin
30984	Little	*
30985	*	Fat
30986	*	Thin
30987	*	Thin
30988	Little	*
30989	Little	Fat
30990	None	*
30991	Little	Fat
30992	None	*
30993	None	Thin
30994	Lots	Thin
30995	Lots	Fat
30996	*	Thin
30997	Little	Thin
30998	Lots	Thin
30999	*	Fat
31000	Lots	Thin
31001	Little	*
31002	*	Fat
31003	None	Thin
31004	Little	Thin
31005	Little	Fat
31006	None	Fat
31007	Lots	Fat
31008	Little	*
31009	Little	*
31010	Lots	Thin
31011	*	Thin
31012	Little	Fat
31013	Lots	Thin
31014	None	Thin
31015	Little	Fat
31016	None	*
31017	None	Thin
31018	None	*
31019	Little	Thin
31020	Little	Thin
31021	Little	Fat
31022	None	Thin
31023	Lots	Fat
31024	*	*
31025	*	Fat
31026	None	*
31027	Lots	Fat
31028	*	Thin
31029	*	*
31030	Little	Fat
31031	*	Thin
31032	Lots	*
31033	Lots	Fat
31034	Little	*
31035	Lots	*
31036	*	Fat
31037	Lots	Fat
31038	Lots	Fat
31039	Lots	Thin
31040	None	Fat
31041	None	Fat
31042	Lots	Fat
31043	None	Thin
31044	*	Fat
31045	None	Fat
31046	*	Thin
31047	Little	Fat
31048	Lots	*
31049	Lots	Thin
31050	None	Thin
31051	*	Thin
31052	Little	*
31053	*	Fat
31054	Little	Fat
31055	*	Thin
31056	Lots	Fat
31057	None	Fat
31058	Lots	Fat
31059	Little	Fat
31060	Lots	Fat
31061	None	*
31062	None	Thin
31063	Lots	Thin
31064	*	Thin
31065	Little	Thin
31066	*	Fat
31067	*	Thin
31068	*	*
31069	Little	Thin
31070	*	*
31071	Lots	Thin
31072	Lots	*
31073	Little	Fat
31074	Lots	*
31075	Lots	*
31076	Lots	Thin
31077	Lots	*
31078	*	Fat
31079	Little	Fat
31080	None	*
31081	Little	Fat
31082	Lots	Fat
31083	Little	Fat
31084	None	Thin
31085	None	Fat
31086	None	Thin
31087	Little	Thin
31088	None	Thin
31089	Lots	*
31090	None	Fat
31091	None	*
31092	Little	Thin
31093	None	Thin
31094	None	*
31095	Lots	Fat
31096	Lots	Fat
31097	Little	Fat
31098	None	Thin
31099	Lots	Thin
31100	None	Fat
31101	None	Thin
31102	Little	Thin
31103	None	*
31104	*	Fat
31105	Lots	Thin
31106	Lots	Thin
31107	None	Thin
31108	Lots	Fat
31109	None	Fat
31110	None	Fat
31111	None	Fat
31112	None	Fat
31113	Lots	*
31114	*	Fat
31115	*	Thin
31116	Lots	Fat
31117	Lots	Thin
31118	Little	Thin
31119	Little	Fat
31120	Lots	Thin
31121	Little	Thin
31122	*	Thin
31123	Lots	Thin
31124	*	Fat
31125	*	Thin
31126	*	Fat
31127	None	*
31128	None	Fat
31129	Lots	Thin
31130	None	Thin
31131	Little	Fat
31132	None	Thin
31133	Lots	*
31134	Little	Fat
31135	Little	*
31136	*	Fat
31137	None	Fat
31138	Lots	Thin
31139	None	Thin
31140	Lots	Thin
31141	Little	*
31142	Lots	Thin
31143	None	Thin
31144	None	Fat
31145	None	Fat
31146	Little	Fat
31147	Lots	Thin
31148	Little	Thin
31149	*	Fat
31150	None	Thin
31151	Lots	Thin
31152	None	*
31153	Lots	Fat
31154	None	Fat
31155	Little	Fat
31156	*	Fat
31157	*	Fat
31158	None	Fat
31159	Little	Fat
31160	Little	Thin
31161	Lots	Thin
31162	Lots	Thin
31163	Little	*
31164	None	Thin
31165	Lots	*
31166	None	Fat
31167	Lots	Thin
31168	*	Thin
31169	*	Fat
31170	*	Thin
31171	None	Thin
31172	Little	Thin
31173	None	Fat
31174	Little	Fat
31175	Little	Thin
31176	Lots	Thin
31177	Little	Thin
31178	Lots	*
31179	None	Fat
31180	*	Fat
31181	*	Thin
31182	Little	*
31183	Lots	Fat
31184	None	Fat
31185	Lots	*
31186	*	Fat
31187	None	Fat
31188	Little	Thin
31189	Little	Thin
31190	Lots	Fat
31191	Lots	Fat
31192	None	Thin
31193	None	Fat
31194	None	Thin
31195	None	*
31196	Lots	Thin
31197	Little	Thin
31198	Lots	Thin
31199	Lots	Thin
31200	Lots	Thin
31201	None	Fat
31202	Lots	Thin
31203	None	Fat
31204	None	*
31205	None	*
31206	None	*
31207	*	*
31208	Little	*
31209	Lots	Thin
31210	None	Thin
31211	None	Fat
31212	*	Thin
31213	Lots	*
31214	None	Fat
31215	Little	Fat
31216	None	Thin
31217	None	Thin
31218	Little	*
31219	None	Thin
31220	None	Fat
31221	Little	Fat
31222	*	Fat
31223	Little	Thin
31224	Lots	Thin
31225	Lots	Thin
31226	Lots	Fat
31227	None	Thin
31228	None	*
31229	Little	Thin
31230	None	Fat
31231	Lots	Fat
31232	*	Thin
31233	*	Fat
31234	None	Fat
31235	None	Thin
31236	Little	Thin
31237	Little	Fat
31238	Lots	Thin
31239	None	Thin
31240	Little	Fat
31241	None	Thin
31242	Lots	*
31243	*	Fat
31244	None	Thin
31245	None	Fat
31246	Lots	Thin
31247	*	Fat
31248	Little	Fat
31249	None	Fat
31250	None	*
31251	Little	Fat
31252	*	*
31253	None	Thin
31254	None	Thin
31255	Lots	Fat
31256	*	*
31257	*	Thin
31258	Lots	Thin
31259	None	Thin
31260	Lots	Thin
31261	None	*
31262	None	Thin
31263	None	Thin
31264	None	Thin
31265	None	Fat
31266	Little	Fat
31267	None	Fat
31268	Little	Thin
31269	Lots	*
31270	*	Thin
31271	*	Thin
31272	None	Fat
31273	*	Thin
31274	Little	Fat
31275	Lots	Fat
31276	*	Thin
31277	Lots	Thin
31278	*	*
31279	*	Thin
31280	Lots	*
31281	None	Fat
31282	*	Thin
31283	Lots	Thin
31284	None	Thin
31285	None	Thin
31286	None	Fat
31287	None	Fat
31288	Little	Fat
31289	None	Fat
31290	Little	Fat
31291	None	Thin
31292	Little	Fat
31293	Little	*
31294	None	Thin
31295	Lots	*
31296	Little	Fat
31297	*	Fat
31298	Lots	Thin
31299	None	Fat
31300	Little	Thin
31301	None	Thin
31302	None	Fat
31303	Lots	Fat
31304	Little	*
31305	None	Thin
31306	None	*
31307	Little	*
31308	Little	Thin
31309	None	Thin
31310	None	Fat
31311	None	*
31312	None	Thin
31313	Lots	Fat
31314	None	Thin
31315	Little	*
31316	Little	Thin
31317	*	Thin
31318	None	Thin
31319	*	Thin
31320	*	Fat
31321	Little	Fat
31322	*	Thin
31323	None	Thin
31324	None	Fat
31325	Lots	Fat
31326	Little	Fat
31327	Lots	Thin
31328	Little	Thin
31329	None	Fat
31330	Lots	*
31331	*	*
31332	Lots	Fat
31333	*	*
31334	None	Fat
31335	*	*
31336	Lots	Fat
31337	*	Fat
31338	Little	Thin
31339	Little	Thin
31340	Lots	*
31341	Lots	Thin
31342	None	Fat
31343	None	Thin
31344	Lots	Thin
31345	None	Thin
31346	Lots	Thin
31347	None	Thin
31348	Little	Fat
31349	*	Thin
31350	None	Thin
31351	Little	Thin
31352	*	Fat
31353	*	Fat
31354	Little	Fat
31355	Little	Thin
31356	None	Fat
31357	None	Fat
31358	Lots	Thin
31359	Little	*
31360	Lots	*
31361	None	*
31362	None	Fat
31363	Little	*
31364	Lots	Thin
31365	None	Thin
31366	Little	Fat
31367	*	Thin
31368	None	Fat
31369	None	*
31370	Little	Thin
31371	Lots	Thin
31372	None	*
31373	None	Fat
31374	Little	Thin
31375	*	Thin
31376	None	Fat
31377	None	Fat
31378	*	*
31379	*	Fat
31380	None	Thin
31381	Lots	Fat
31382	None	Fat
31383	Lots	Fat
31384	None	*
31385	Lots	Fat
31386	Little	*
31387	Lots	Fat
31388	*	*
31389	Little	Thin
31390	None	*
31391	Little	*
31392	Little	Fat
31393	None	Fat
31394	Lots	*
31395	Little	Fat
31396	*	*
31397	Little	Fat
31398	*	Thin
31399	Little	*
31400	*	Thin
31401	*	*
31402	None	*
31403	*	Fat
31404	Lots	Fat
31405	Lots	Fat
31406	None	Fat
31407	Little	*
31408	Little	*
31409	None	Fat
31410	Lots	Fat
31411	Lots	Thin
31412	None	Thin
31413	None	Thin
31414	None	Thin
31415	None	Thin
31416	Lots	Thin
31417	Little	Thin
31418	None	Thin
31419	None	Thin
31420	Lots	Thin
31421	None	Thin
31422	Lots	Thin
31423	Lots	Thin
31424	None	Thin
31425	None	Thin
31426	None	*
31427	None	Fat
31428	None	Thin
31429	Lots	Thin
31430	*	Thin
31431	Little	Fat
31432	Lots	Thin
31433	Lots	Thin
31434	*	Thin
31435	None	Thin
31436	Lots	Fat
31437	Lots	Thin
31438	None	Fat
31439	*	Thin
31440	Lots	Fat
31441	Little	Fat
31442	None	Thin
31443	Lots	Fat
31444	Little	Fat
31445	Little	Fat
31446	None	*
31447	Lots	Fat
31448	*	Thin
31449	Little	Thin
31450	*	Thin
31451	None	Thin
31452	*	Thin
31453	None	Thin
31454	None	Fat
31455	None	*
31456	Lots	Fat
31457	*	Fat
31458	Little	*
31459	Lots	Thin
31460	None	Thin
31461	Lots	Thin
31462	Little	Fat
31463	None	*
31464	Lots	Thin
31465	*	*
31466	Little	Fat
31467	None	Fat
31468	Lots	Thin
31469	Lots	Thin
31470	Little	Thin
31471	None	Fat
31472	Little	Fat
31473	Lots	Thin
31474	None	Fat
31475	Little	Thin
31476	*	Fat
31477	Little	Fat
31478	Little	Fat
31479	None	Thin
31480	Lots	Fat
31481	None	*
31482	*	Thin
31483	*	Fat
31484	None	Thin
31485	None	Thin
31486	Little	Fat
31487	Lots	*
31488	Lots	Thin
31489	Lots	Fat
31490	*	Fat
31491	Lots	Thin
31492	Lots	Fat
31493	*	Fat
31494	None	Fat
31495	*	Thin
31496	*	Fat
31497	None	*
31498	Little	Fat
31499	*	Thin
31500	*	*
31501	Little	Fat
31502	None	*
31503	None	Fat
31504	None	Fat
31505	None	Fat
31506	*	Fat
31507	None	Fat
31508	None	Thin
31509	Lots	Thin
31510	Lots	Fat
31511	Lots	Thin
31512	Lots	*
31513	None	Thin
31514	Little	Fat
31515	Lots	*
31516	Little	Fat
31517	Little	Fat
31518	None	Thin
31519	*	*
31520	None	Thin
31521	Little	Fat
31522	None	Thin
31523	None	Thin
31524	None	Thin
31525	None	Thin
31526	*	Thin
31527	*	Thin
31528	None	Thin
31529	None	Fat
31530	*	Fat
31531	Little	Fat
31532	*	*
31533	None	Thin
31534	Little	Thin
31535	None	Fat
31536	Little	Fat
31537	None	*
31538	Little	Thin
31539	Little	Thin
31540	None	Fat
31541	Lots	*
31542	Little	Fat
31543	Lots	Thin
31544	None	Thin
31545	None	Fat
31546	None	Thin
31547	*	Thin
31548	Little	Thin
31549	Lots	*
31550	Little	*
31551	*	Thin
31552	None	Thin
31553	*	Fat
31554	Little	*
31555	Little	Fat
31556	Little	Thin
31557	Little	Fat
31558	None	Thin
31559	None	Fat
31560	None	Fat
31561	None	Fat
31562	*	Thin
31563	*	Fat
31564	*	Thin
31565	*	Thin
31566	None	*
31567	Little	*
31568	Lots	*
31569	Lots	*
31570	Little	*
31571	Lots	*
31572	Lots	Thin
31573	Little	Thin
31574	Little	Fat
31575	Little	*
31576	Little	Thin
31577	Little	*
31578	Lots	Thin
31579	None	Thin
31580	*	Fat
31581	None	*
31582	Lots	Thin
31583	Little	Thin
31584	None	Fat
31585	*	Thin
31586	None	Thin
31587	Lots	Thin
31588	Lots	Fat
31589	Little	Fat
31590	None	Thin
31591	Little	Thin
31592	None	Thin
31593	None	Thin
31594	Little	Fat
31595	Little	Fat
31596	Lots	Thin
31597	Little	*
31598	None	Thin
31599	*	Thin
31600	None	Fat
31601	Little	Thin
31602	Lots	Thin
31603	None	*
31604	*	Fat
31605	None	Thin
31606	Little	*
31607	Lots	Fat
31608	None	Thin
31609	*	*
31610	Little	Fat
31611	Little	*
31612	None	Thin
31613	None	Thin
31614	Lots	*
31615	None	Fat
31616	None	Thin
31617	*	Thin
31618	Lots	*
31619	None	Thin
31620	Little	*
31621	None	Fat
31622	Lots	Thin
31623	*	Fat
31624	None	Thin
31625	*	Thin
31626	Lots	Thin
31627	Little	Fat
31628	Lots	*
31629	*	Thin
31630	Lots	Thin
31631	None	Fat
31632	None	Thin
31633	Lots	Thin
31634	*	Fat
31635	None	Thin
31636	None	Thin
31637	None	Thin
31638	Lots	Thin
31639	Little	Fat
31640	None	Fat
31641	Lots	*
31642	None	Fat
31643	Little	Thin
31644	None	Thin
31645	None	Fat
31646	None	Thin
31647	None	Fat
31648	Little	Thin
31649	Lots	*
31650	None	*
31651	Lots	Thin
31652	None	Fat
31653	Little	Thin
31654	Little	*
31655	Little	Thin
31656	Little	Thin
31657	Little	*
31658	Lots	Fat
31659	*	Fat
31660	None	*
31661	Little	Thin
31662	Lots	Thin
31663	Lots	*
31664	Little	Thin
31665	None	Fat
31666	Little	Thin
31667	Little	Thin
31668	None	Thin
31669	None	Fat
31670	Lots	Fat
31671	Little	Fat
31672	Lots	Fat
31673	None	*
31674	None	Thin
31675	None	*
31676	None	Thin
31677	None	Thin
31678	*	Thin
31679	Lots	*
31680	None	Thin
31681	Little	Fat
31682	Lots	Thin
31683	Little	Fat
31684	None	Thin
31685	Little	*
31686	None	Fat
31687	*	Thin
31688	*	*
31689	Little	Thin
31690	None	Fat
31691	*	*
31692	Lots	Fat
31693	None	*
31694	None	*
31695	None	Thin
31696	Little	Fat
31697	None	Thin
31698	*	Thin
31699	Lots	*
31700	Little	Thin
31701	Lots	*
31702	None	Thin
31703	None	*
31704	Lots	*
31705	None	Fat
31706	*	*
31707	None	Thin
31708	Lots	*
31709	None	Thin
31710	None	Fat
31711	Lots	*
31712	Lots	Fat
31713	None	Fat
31714	None	*
31715	*	Thin
31716	Lots	*
31717	*	Thin
31718	*	Fat
31719	Little	*
31720	Lots	Fat
31721	Little	Fat
31722	*	*
31723	Little	*
31724	None	Thin
31725	*	*
31726	Little	Fat
31727	None	Fat
31728	Little	Fat
31729	Lots	*
31730	Lots	Fat
31731	*	*
31732	Lots	*
31733	Lots	Fat
31734	Lots	Thin
31735	None	*
31736	Little	Thin
31737	Lots	Thin
31738	Lots	Thin
31739	*	Thin
31740	*	*
31741	Little	Fat
31742	None	Thin
31743	*	*
31744	*	*
31745	Lots	Thin
31746	None	Fat
31747	Lots	*
31748	*	Fat
31749	None	*
31750	*	*
31751	Lots	*
31752	Little	Fat
31753	*	Thin
31754	Little	Fat
31755	*	Thin
31756	None	*
31757	None	Fat
31758	Lots	Thin
31759	*	Fat
31760	None	*
31761	None	Fat
31762	None	Thin
31763	*	Thin
31764	Lots	*
31765	None	Thin
31766	None	Fat
31767	Lots	Thin
31768	None	*
31769	None	Fat
31770	*	Thin
31771	None	Thin
31772	*	Thin
31773	Lots	Fat
31774	*	Fat
31775	Little	Fat
31776	None	Fat
31777	None	Thin
31778	None	*
31779	None	Thin
31780	Little	Fat
31781	*	Fat
31782	None	Thin
31783	Lots	Fat
31784	Lots	Fat
31785	*	Fat
31786	None	*
31787	Little	Fat
31788	None	Thin
31789	Little	Fat
31790	None	Thin
31791	*	Fat
31792	None	Thin
31793	Lots	Fat
31794	None	*
31795	Lots	Fat
31796	Little	*
31797	*	Fat
31798	*	Fat
31799	None	Thin
31800	None	Thin
31801	None	*
31802	*	Fat
